ResourceID,inventory,start_date,end_date,relation_type,notes
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,0571af67-97c4-4ad1-83ac-25268525f0a7,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,07287137-3f27-4ecc-870a-675e757bcbca,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,14c7bd1e-bafa-4846-a942-8db33186e983,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,18c50ff3-fbee-4191-be1f-0a573d1b338f,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,1b46f8d6-d35b-4739-9c54-5bc1e77767b9,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,2a6d18e8-0b07-4e09-bdc7-f9a000c78f66,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,2af450e3-f62c-45b9-8ec9-778989cd8acd,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,33eace10-fd96-4029-b71a-dfdd72e0dc31,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,379308ee-21df-40f6-8871-f4da8793166e,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,3b05ed55-9d8d-41be-b665-6991a8f0a1e0,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,450fb5fb-d7e6-47f7-b3c1-4926817d22d2,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,47e5032e-7819-42c0-bff5-f40f07f051d9,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,4985d7dd-4d0f-4296-bbcb-58a4a4a6efa9,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
7d5ae14b-4d94-4945-8a5a-6272ddf0bad0,4b0b73d0-3b42-4407-874b-7ff96c00f4b6,,,1d9559c3-f6ea-4997-aeeb-1bb70be5ad97,
