ResourceID,master,start_date,end_date,relation_type,notes
06798468-93f3-4a64-b069-95660470a748,4de9e6ec-0599-48c0-8d29-d6af929fe79a,,,2aa6ddd5-e97f-447c-a3e5-6e6ea5ea0770,
06798468-93f3-4a64-b069-95660470a748,52783ce6-cfdb-41d3-b649-6bfa54193688,,,2aa6ddd5-e97f-447c-a3e5-6e6ea5ea0770,
06798468-93f3-4a64-b069-95660470a748,9fedd064-27a5-46cd-87b0-e021b1b2ae97,,,2aa6ddd5-e97f-447c-a3e5-6e6ea5ea0770,
06798468-93f3-4a64-b069-95660470a748,d3fc8c10-7245-4c07-8203-eea690260157,,,2aa6ddd5-e97f-447c-a3e5-6e6ea5ea0770,
