v3_node,v4_node
CHARACTER_AREA_PLACE_NOTE.E62,Spatial Location Notes
DESCRIPTION.E62,Description
GUIDELINES.E62,Guideline
NAME.E48,Identification
RELATIVE_LEVEL_OF_SIGNIFICANCE.E55,Significance
SPATIAL_COORDINATES_GEOMETRY.E47,Spatial Coordinates
